Open,High,Low,Close,Volume,Dividends,Stock Splits
39.986427548905006,41.05764560719018,34.57891761380615,34.621768951416016,918966800,0.0,0.0
34.784584933357436,37.96395861582562,34.47607368034538,37.57831954956055,656509700,0.31,0.0
37.69041306393741,38.13921161828419,34.98899574502842,35.09256362915039,824335300,0.0,0.0
35.040778111044425,42.75665627939437,34.626503281363654,41.979888916015625,874535300,0.0,0.0
41.928098119689125,42.21291056694375,39.71862951696729,40.44361114501953,633072800,0.31,0.0
40.88019896966369,41.49696273920311,38.169907228394,38.352333068847656,664853400,0.0,0.0
38.621613166326014,41.17554117663275,37.63131590263969,40.56746292114258,725458100,0.0,0.0
40.81070599714688,42.05292231470756,34.50407211194426,37.8050651550293,776480300,0.31,0.0
36.873897523861494,39.34848139964402,36.42794953566818,38.701416015625,673079900,0.0,0.0
39.12988662073184,47.54171829662485,38.25547574652554,46.028987884521484,856716800,0.0,0.0
46.212607191614225,48.075103038737616,45.932796016111745,47.52422332763672,662626600,0.36,0.0
47.89736886454986,50.04531068738069,47.25474696704017,48.83929443359375,792820900,0.0,0.0
47.818140620052894,48.76006617524382,43.22295001234357,48.495975494384766,927914700,0.0,0.0
48.311120349210675,48.49598352059783,42.42188006508343,44.78990173339844,814770900,0.36,0.0
45.1912857774546,49.33182367776125,44.8455025039891,48.96830749511719,641110900,0.0,0.0
48.80871438861469,50.333710746341254,43.75495029944278,44.21599578857422,699025700,0.0,0.0
44.331251900151095,46.991127014160156,43.85247356789999,46.991127014160156,530704800,0.36,0.0
46.819814448784584,47.27515781285997,42.89138039448473,45.6859245300293,823627000,0.0,0.0
45.65022462290931,51.150036295841396,44.98953144595561,50.605411529541016,647587800,0.0,0.0
50.53398737838893,52.40892539992008,50.123287933945655,51.30181884765625,467078900,0.36,0.0
51.21728256332121,52.27738448990144,49.959536896373706,51.74733352661133,526427800,0.0,0.0
51.57662877307672,55.13425642095027,50.597382415612095,53.83158874511719,614841800,0.0,0.0
53.87652358917174,55.17020573692995,51.459848967872574,54.137054443359375,613056800,0.39,0.0
54.367109820586826,57.97590452763776,53.18226557164887,56.203163146972656,513579700,0.0,0.0
56.791061490889035,59.612980032843794,56.03131472193847,58.473358154296875,493453500,0.0,0.0
58.21107800368991,59.00700075502543,56.754896054864865,57.86738204956055,440744000,0.39,0.0
58.35468463593326,60.22917330335692,57.89061489489894,59.928890228271484,489169700,0.0,0.0
59.883390479202255,62.91350455522787,59.009845392318326,62.294742584228516,433191200,0.0,0.0
62.49494105156515,64.36942307571539,61.093626753260104,63.550472259521484,517218500,0.39,0.0
64.28079242734813,66.70596616308146,62.313198378277264,63.08193588256836,629716800,0.0,0.0
63.44798452772324,68.10614117510984,62.24912131261386,66.53206634521484,469851200,0.0,0.0
66.89814585549045,68.60034277368398,65.2325561484756,68.42646026611328,444070500,0.39,0.0
68.73584090914323,69.89508742824965,67.08897677228529,68.53343200683594,375983900,0.0,0.0
68.73582038110264,79.30702154589369,67.81578529579384,76.52851867675781,449950000,0.0,0.0
76.98855387189965,78.25820005378753,75.66370079910378,77.43936920166016,421926000,0.42,0.0
77.30122764939173,80.9073868753188,74.61972427346831,79.09506225585938,466203300,0.0,0.0
79.64059943651554,88.25839098549284,79.05806883735691,87.85154724121094,574258400,0.0,0.0
87.64813189297737,88.83169029309428,77.51390427377062,86.7049789428711,725663300,0.42,0.0
87.31664367640582,90.33589145168115,80.89726209211794,84.78976440429688,750754800,0.0,0.0
84.04656886412343,90.94903403361114,81.29673175199633,86.88001251220703,668130700,0.0,0.0
86.59203213773145,92.89064685672307,85.8859906180274,91.82229614257812,509417900,0.42,0.0
92.63079417649139,95.81241536152112,90.74608531688465,92.00566864013672,602585200,0.0,0.0
91.52984493550191,103.70583651872624,91.43654376350948,98.97539520263672,569352300,0.0,0.0
98.92873483686978,105.22665964906226,97.81843174023244,104.80680084228516,456628100,0.42,0.0
103.82391800291165,107.98249676479509,100.43337148607468,107.12081146240234,480255500,0.0,0.0
107.47673782839755,108.81609964010914,93.76467354770783,100.04000091552734,927548000,0.0,0.0
100.2648078089227,105.12584300295315,93.05285585100174,103.86141204833984,720228600,0.46,0.0
106.29489754475011,106.68997420259988,88.38467677866227,95.54312133789062,944314600,0.0,0.0
93.642974673622,101.49750678479002,91.43241158684886,98.23340606689453,714212800,0.0,0.0
97.62199276946181,106.52066277414613,96.27684456080672,105.38246154785156,469095900,0.46,0.0
106.64492113446748,114.13623357767865,102.78118352039321,111.41555786132812,589095800,0.0,0.0
112.36968298698343,124.10260684364037,111.56670642938028,123.37521362304688,433157700,0.0,0.0
123.30908480428027,123.42244179669387,116.23343330343981,116.83802795410156,547218800,0.46,0.0
117.43172193685692,131.227693173615,112.84254865361832,127.0177993774414,508324300,0.0,0.0
129.54941310676776,134.33769482670598,127.69098003648715,129.20806884765625,484079900,0.0,0.0
129.90023501368543,133.63605430633626,124.00257355124202,130.71566772460938,584482000,0.46,0.0
129.9617652936968,135.44144504514887,127.96395767257783,132.2639923095703,472544800,0.0,0.0
132.86334968099584,138.58086350603125,126.73675456512325,136.39279174804688,549523400,0.0,0.0
137.23948995400792,145.0784903294479,136.01227501310777,144.01300048828125,392371800,0.51,0.0
144.91347907695405,152.30186681246025,139.98788725328328,150.53590393066406,450303300,0.0,0.0
151.56686322298867,166.1431742619853,149.39998181648403,162.4967041015625,558530000,0.0,0.0
162.68763796253575,182.03680922519337,145.0948895911057,154.650146484375,887522300,0.51,0.0
158.2311986829449,167.50626204383397,126.84531749550193,150.95664978027344,1612695500,0.0,0.0
